station,school,distance_m,school_lat,school_lon,授業開始日,情報源URL
太子橋今市,常翔学園中学校・高等学校,795.7,34.73118,135.5459878,,
学研北生駒,市立上中学校,567.5,34.7253334,135.7170226,,
学研奈良登美ヶ丘,市立登美ケ丘北中学校,336,34.7235757,135.752776,,
学研奈良登美ヶ丘,奈良学園登美ヶ丘中学校,706.3,34.721196,135.7480527,,
学研奈良登美ヶ丘,奈良学園登美ヶ丘高等学校,752.5,34.721024,135.747457,,
守口,大阪府立芦間高等学校,313.3,34.7411056,135.5631795,,
守口,守口市立第一中学校,323.1,34.7376536,135.5609885,,
守口,大阪府立淀川工科高等学校,436.9,34.7365682,135.5601977,,
守口,大阪電気通信大学高等学校,643.9,34.7369653,135.5711888,,
富田,市立第四中学校,484.4,34.8394584,135.5921221,,
小路,関西福祉大学金光藤蔭高等学校,420.3,34.6576513,135.5562556,,
小路,大阪市立東生野中学校,515,34.660635,135.5507336,,
小路,関西福祉大学金光藤蔭高等学校スポーツエリア,523.7,34.6567962,135.5572955,,
山田,大阪府立千里高等学校,515.6,34.7992359,135.5151591,,
岸里,大阪市立成南中学校,379,34.6334507,135.489884,,
岸里,大阪市立天下茶屋中学校,442.9,34.6383968,135.493669,,
平林,大阪市立新北島中学校,430.9,34.6068553,135.4594866,,
平野,私立天王寺学館高等学校,72.6,34.6314644,135.5521568,,
平野,市立平野北中学校,349.2,34.628113,135.5534054,,
弁天町,大阪府立港高等学校,376.6,34.671332,135.4657477,,
弁天町,大阪市立市岡中学校,400.3,34.6666995,135.4621795,,
弁天町,大阪市立市岡東中学校,475.2,34.6671423,135.4653472,,
弁天町,大阪府立市岡高等学校,534.4,34.6675061,135.4665946,,
恵美須町,大阪市立日本橋中学校,380.9,34.6586357,135.5037403,,
恵美須町,大阪市立木津中学校,563,34.6533058,135.5001763,,
恵美須町,大阪星光学院中学・高等学校,622,34.6563649,135.5124001,,
恵美須町,大阪府立今宮高等学校,728.7,34.6524882,135.4986512,,
恵美須町,大阪夕陽丘学園高等学校,793.4,34.6601299,135.5123645,,
扇町,大阪市立天満中学校,380.5,34.703545,135.5068376,,
摂津市,摂津市立第一中学校,329.2,34.7838826,135.5548331,,
摂津市,摂津市立第三中学校,559,34.7852021,135.5597556,,
摂津市,大阪府立摂津高等学校,580.5,34.7868796,135.5602853,,
摂津市,星翔高等学校,770.5,34.7798722,135.554969,,
文の里,大阪市立工芸高等学校,209.2,34.6379693,135.5186105,,
文の里,大阪市立第二工芸高等学校,230.8,34.6377353,135.5196351,,
文の里,府立阿倍野高等学校,294.6,34.6351377,135.5150237,,
文の里,私立明浄学院高等学校,336.3,34.6354203,135.5215609,,
文の里,大阪府立天王寺高等学校,507.2,34.6400469,135.5208915,,
文の里,大阪市立文の里中学校,594.9,34.6399256,135.5226123,,
文の里,私立桃山学院高等学校中学校,778.3,34.6291802,135.5173082,,
新大阪,大阪府立東淀川高等学校,404.6,34.7363176,135.4970407,,
新大阪,大阪市立宮原中学校,770.3,34.7376937,135.4924644,,
新大阪,小中一貫校むくのき学園　大阪市立啓発小学校・大阪市立中島中学校,776,34.7324048,135.507015,,
新大阪,飛鳥未来高等学校,784.5,34.7262798,135.5015283,,
新森古市,大阪市立旭東中学校,402.1,34.7175505,135.5617078,,
新森古市,大阪信愛女学院中学校,421.2,34.7115702,135.5593318,,
新森古市,大阪信愛女学院高等学校,463.5,34.711094,135.5583769,,
新森古市,大阪産業大学附属高等学校,719.5,34.708809,135.558879,,
新森古市,大阪産業大学附属中学校,763.4,34.708505,135.559783,,
新深江,市立相生中学校,690.8,34.6743478,135.5533454,,
新金岡,堺市立金岡北中学校,464.1,34.570867,135.511203,,
新金岡,堺市立大泉小学校 大泉中学校,695.4,34.5673135,135.5228265,,
昭和町,府立阿倍野高等学校,283.4,34.6351377,135.5150237,,
昭和町,私立桃山学院高等学校中学校,440.2,34.6291802,135.5173082,,
昭和町,市立阿倍野中学校,491.2,34.6289031,135.5185016,,
昭和町,私立明浄学院高等学校,495,34.6354203,135.5215609,,
昭和町,大阪市立工芸高等学校,560.2,34.6379693,135.5186105,,
昭和町,大阪市立第二工芸高等学校,569.4,34.6377353,135.5196351,,
昭和町,大阪市立昭和中学校,732.8,34.6274621,135.5210187,,
朝潮橋,大阪市立港中学校,393.2,34.6573275,135.448902,,
朝潮橋,大阪市立港南中学校,763,34.6605094,135.4571442,,
本町,相愛中学校,96.8,34.6838193,135.4996662,,
本町,相愛高等学校,129.2,34.6838042,135.4992933,,
東三国,大阪市立東三国中学校,450.4,34.7448939,135.4966258,,
東三国,大阪府立東淀川高等学校,553.6,34.7363176,135.4970407,,
東三国,大阪市立宮原中学校,672.5,34.7376937,135.4924644,,
東向日,市立寺戸中学校,572.3,34.9587068,135.7053819,,
東向日,私立京都西山高等学校,577.9,34.9489133,135.7019636,,
東梅田,大阪市立天満中学校,720.7,34.703545,135.5068376,,
松尾大社,市立松尾中学校,428.6,34.9971102,135.6908495,,
松屋町,大阪市立南高等学校,130.1,34.6743555,135.5128176,,
松屋町,大阪市立南中学校,340.5,34.6742811,135.5087612,,
松屋町,大阪市立上町中学校,707.3,34.6723935,135.5190237,,
柴島,大阪市立柴島中学校,145.2,34.7274226,135.5124797,,
